Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
ray_2.0.0,python/ray/util/collective/collective_group/nccl_collective_group.py,821,342,461,11,113,73,131,124,204,808.7339705579266,6.376106194690266,9045.50161144499,502.52786730249943,1418.6560473189227,88,39.878891021928844
ray_2.0.0,python/ray/util/collective/collective_group/gloo_util.py,304,160,224,4,17,11,17,21,28,77.48686830125578,2.0,245.9697756756106,13.664987537533923,122.9848878378053,53,50.52999534329048
ray_2.0.0,python/ray/util/collective/collective_group/base_collective_group.py,84,53,55,0,0,0,0,0,0,0,0,0,0.0,0,15,100.0
ray_2.0.0,python/ray/util/collective/collective_group/cuda_stream.py,94,52,48,4,8,5,8,12,13,32.0,2.0,93.20902501875007,5.178279167708337,46.604512509375034,9,78.32977657627477
ray_2.0.0,python/ray/util/collective/examples/nccl_allreduce_multigpu_example.py,43,34,34,2,4,2,4,6,6,10.0,1.0,15.509775004326936,0.861654166907052,15.509775004326936,9,57.04521231236129
ray_2.0.0,python/ray/util/collective/examples/nccl_p2p_example_multigpu.py,53,43,43,3,9,5,9,12,14,33.28421251514428,1.5,75.28421251514428,4.182456250841349,50.18947501009619,10,60.20128933077762
ray_2.0.0,python/ray/util/collective/examples/nccl_allreduce_example_declare_collective_group.py,33,22,26,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,6,65.16807746426294
ray_2.0.0,python/ray/util/collective/examples/nccl_allreduce_example.py,37,29,29,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,8,62.28193436404295
ray_2.0.0,python/ray/util/sgd/__init__.py,6,1,6,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/xgboost/__init__.py,5,1,5,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/horovod/__init__.py,5,1,5,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/client/common.py,929,495,589,17,103,73,139,120,212,758.1964226011272,11.470873786407767,16796.350899095443,933.1306055053024,1464.260806269006,144,26.7548478794118
ray_2.0.0,python/ray/util/client/dataclient.py,591,312,417,18,77,57,106,95,163,557.6012136594691,12.38961038961039,13267.866062424404,737.1036701346891,1070.8864641579446,83,38.78223013622742
ray_2.0.0,python/ray/util/client/client_app.py,90,54,54,5,24,14,28,29,42,121.64874049174458,2.9166666666666665,595.1026719031277,33.06125955017376,204.03520179535806,12,69.8594161578974
ray_2.0.0,python/ray/util/client/client_pickler.py,185,80,142,3,10,7,14,13,21,37.974168451037094,2.1,163.18939157002217,9.066077309445676,77.70923408096293,22,64.29298364624789
ray_2.0.0,python/ray/util/client/__init__.py,321,190,216,8,51,30,58,59,88,313.2936924405463,4.549019607843137,2354.9027548190465,130.82793082328035,517.6725883438421,53,48.3899427647171
ray_2.0.0,python/ray/util/client/ray_client_helpers.py,94,53,58,3,5,3,5,8,8,16.36452797660028,1.5,36.0,2.0,24.0,5,78.79036107287261
ray_2.0.0,python/ray/util/client/runtime_context.py,57,37,37,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,12,69.20485910722513
ray_2.0.0,python/ray/util/client/logsclient.py,136,84,86,5,10,7,10,15,17,44.82892142331043,2.5,166.04285031336204,9.22460279518678,66.41714012534482,24,69.91019767378721
ray_2.0.0,python/ray/util/client/options.py,42,26,31,5,12,8,16,17,24,54.62919048309069,3.3333333333333335,326.99702730002724,18.16650151666818,98.09910819000817,10,75.46277628481761
ray_2.0.0,python/ray/util/client/worker.py,886,508,672,18,137,90,159,155,249,1047.4890453915539,10.445255474452555,18924.243590970156,1051.3468661650086,1811.7549769132854,148,21.043461828519543
ray_2.0.0,python/ray/util/client/api.py,399,144,170,6,24,14,28,30,42,125.5488750216347,3.5,721.3129175544523,40.07293986413624,206.0894050155578,46,58.25537495625262
ray_2.0.0,python/ray/util/client/server/dataservicer.py,415,246,320,16,79,62,117,95,179,561.9986791059912,11.848101265822784,13933.416304331648,774.0786835739805,1176.0041538912396,68,41.529230613854416
ray_2.0.0,python/ray/util/client/server/proxier.py,839,469,602,15,75,49,91,90,140,525.7647607213188,9.1,8270.620844724006,459.4789358180003,908.8594334861544,110,29.969830911503028
ray_2.0.0,python/ray/util/client/server/server.py,929,566,779,16,145,91,174,161,265,1105.0868180521654,9.6,18649.852537923587,1036.1029187735326,1942.6929727003737,127,15.86283138752457
ray_2.0.0,python/ray/util/client/server/__init__.py,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/client/server/__main__.py,4,3,3,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,2,84.58174335197131
ray_2.0.0,python/ray/util/client/server/server_stubs.py,67,49,53,1,7,5,10,8,15,19.651484454403228,0.7142857142857143,32.142857142857146,1.7857142857142858,45.0,12,49.94027264549838
ray_2.0.0,python/ray/util/client/server/logservicer.py,125,98,106,8,13,11,19,21,30,72.10571633583419,5.846153846153846,770.344901841198,42.79693899117766,131.76952268336282,21,48.88342359134186
ray_2.0.0,python/ray/util/client/server/server_pickler.py,131,75,101,3,16,12,24,19,36,68.75488750216347,2.25,344.0821285889304,19.115673810496133,152.92539048396907,23,61.6535122562315
ray_2.0.0,python/ray/util/client/examples/run_tune.py,7,5,4,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/dask/scheduler.py,634,235,345,12,54,39,73,66,112,353.78347512548123,8.11111111111111,5490.996257763857,305.05534765354764,676.9721413681468,65,48.92925149320102
ray_2.0.0,python/ray/util/dask/common.py,88,45,55,1,3,2,4,4,6,4.754887502163469,0.6666666666666666,8.0,0.4444444444444444,12.0,3,83.07183336692006
ray_2.0.0,python/ray/util/dask/scheduler_utils.py,371,180,205,11,45,30,54,56,84,285.1871371398456,6.6,3219.5975687887358,178.8665315993742,487.8178134528388,59,53.20485803828308
ray_2.0.0,python/ray/util/dask/__init__.py,63,19,45,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/dask/callbacks.py,292,120,134,7,21,12,24,28,36,111.8901503327572,4.0,692.259108776295,38.45883937646083,173.06477719407374,34,62.93981327856328
ray_2.0.0,python/ray/util/dask/optimizations.py,167,74,135,7,21,13,22,28,35,111.8901503327572,3.6666666666666665,616.9438816640591,34.274660092447725,168.25742227201613,26,54.27260509346219
ray_2.0.0,python/ray/util/dask/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/dask/tests/test_dask_optimization.py,66,34,49,3,9,5,10,12,15,33.28421251514428,1.6666666666666667,89.62406251802892,4.9791145843349405,53.77443751081735,7,74.16289924191027
ray_2.0.0,python/ray/util/dask/tests/test_dask_scheduler.py,159,99,107,2,16,12,24,18,36,66.0,1.5,225.17595007788483,12.509775004326935,150.11730005192322,12,60.61486255553705
ray_2.0.0,python/ray/util/dask/tests/test_dask_callback.py,243,153,148,4,32,20,38,36,58,168.0,2.375,712.1571689486785,39.56428716381547,299.8556500836541,16,54.84628000678206
