,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
137,jax_0.1.73,jax/experimental/doubledouble.py,375,275,288,17,162,116,228,179,344,1258.542568768565,11.962962962962964,30797.842171977263,1710.9912317765147,2574.4326273789043,59,30.155611022299585,0,0
138,jax_0.1.73,jax/experimental/callback.py,158,104,111,4,7,4,7,11,11,27.651484454403228,2.0,76.10749561002055,4.228194200556697,38.05374780501028,27,63.830773664091566,0,0
139,jax_0.1.73,jax/experimental/optimizers.py,572,276,265,10,138,115,227,148,342,1014.1956559842612,8.22463768115942,20278.9384995376,1126.6076944187555,2465.6330510451007,12,49.92291228666565,1,1
140,jax_0.1.73,jax/experimental/stax.py,354,245,233,13,83,57,108,96,165,577.233989137629,8.457831325301205,9189.59284889797,510.5329360498872,1086.5188126189908,8,50.11370926207108,0,0
141,jax_0.1.73,jax/experimental/jet.py,560,452,429,13,345,226,445,358,671,2956.6118466604426,8.384057971014492,47727.42700892589,2651.523722718105,5692.640386544316,76,22.854445901816565,3,1
142,jax_0.1.73,jax/experimental/loops.py,576,253,275,13,61,36,65,74,101,409.8806939271703,6.926229508196721,4343.818012209859,241.32322290054773,627.154789928524,68,47.39122224714674,3,1
143,jax_0.1.73,jax/experimental/jax2tf/jax2tf.py,1220,749,826,15,140,84,164,155,248,1056.702981306423,8.785714285714286,15853.635632748958,880.7575351527198,1804.4788525080112,101,24.665232816117296,1,1
144,jax_0.1.73,jax/experimental/jax2tf/__init__.py,16,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
145,jax_0.1.73,jax/experimental/jax2tf/tests/savedmodel_test.py,105,64,68,2,8,5,10,10,15,26.0,1.25,62.28615177913805,3.4603417655076694,49.82892142331044,6,74.27346747909408,0,0
146,jax_0.1.73,jax/experimental/jax2tf/tests/jax2tf_test.py,316,231,237,4,32,35,70,36,105,168.0,4.375,2374.934297537562,131.94079430764234,542.8421251514428,29,44.499983385937085,0,0
147,jax_0.1.73,jax/experimental/jax2tf/tests/primitive_harness.py,527,102,415,8,41,73,90,49,163,243.65963218934144,8.78048780487805,8035.882284211718,446.4379046784288,915.1977045907788,81,49.34607950339196,0,0
148,jax_0.1.73,jax/experimental/jax2tf/tests/control_flow_ops_test.py,280,187,177,4,47,38,76,51,114,269.06567602884894,3.234042553191489,2091.314602674087,116.18414459300485,646.6564889847506,16,54.38479802594824,0,0
149,jax_0.1.73,jax/experimental/jax2tf/tests/tf_test_util.py,150,82,90,9,31,21,40,40,61,182.109410634974,5.806451612903226,1884.9925961891367,104.72181089939647,324.6376137881291,20,66.9368171355113,0,0
150,jax_0.1.73,jax/experimental/jax2tf/tests/__init__.py,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
151,jax_0.1.73,jax/experimental/jax2tf/tests/primitives_test.py,418,242,312,17,131,88,166,148,254,990.8652815026616,10.770992366412214,19723.85366046734,1095.769647803741,1831.201154869753,86,37.172907420028565,0,0
152,jax_0.1.73,jax/experimental/jax2tf/tests/stax_test.py,61,33,34,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,4,90.51005141321352,0,0
153,jax_0.1.73,jax/experimental/jax2tf/examples/mnist.py,124,68,67,8,34,21,37,42,58,196.9737366025116,4.352941176470588,1361.4015516803786,75.63341953779882,312.7544105211681,9,69.8049613638525,0,0
154,jax_0.1.73,jax/experimental/jax2tf/examples/stax_to_tf_module.py,80,42,41,2,9,5,10,11,15,30.529325012980813,1.1111111111111112,57.65719364395497,3.203177424664165,51.89147427955947,9,80.49784218604387,0,0
155,jax_0.1.73,jax/lib/xla_bridge.py,437,202,213,12,53,35,67,65,102,346.5993341005035,7.584905660377358,4659.267354819221,258.8481863788456,614.2815169289023,47,53.10156900758161,7,1
156,jax_0.1.73,jax/lib/__init__.py,64,28,37,3,5,3,6,8,9,16.36452797660028,1.8,48.6,2.7,27.0,7,86.47741368494067,4,1
157,jax_0.1.73,jax/numpy/polynomial.py,113,55,68,9,21,14,24,30,38,120.7679908913348,5.142857142857143,958.9466192560648,53.274812180892496,186.46184263312367,9,71.94610678809855,0,0
158,jax_0.1.73,jax/numpy/linalg.py,539,364,387,20,217,226,378,237,604,1770.6951793381993,17.419354838709676,82999.75800195665,4611.097666775369,4764.800922334549,83,31.161009889105536,2,1
159,jax_0.1.73,jax/numpy/__init__.py,80,16,56,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,95.1769765774009,0,0
160,jax_0.1.73,jax/numpy/vectorize.py,305,118,147,14,52,32,58,66,90,349.7258342521433,7.8076923076923075,4247.3492523338045,235.96384735187803,543.9954707422607,22,61.45540897600078,1,1
161,jax_0.1.73,jax/numpy/lax_numpy.py,4618,3256,3500,26,1575,1134,2102,1601,3236,16850.50081107923,17.34984126984127,597640.1894406027,33202.232746700145,34446.43556938261,754,0.0,27,1
162,jax_0.1.73,jax/numpy/_util.py,97,53,51,8,26,15,28,34,43,146.2114326716684,4.307692307692308,942.3546555177552,52.353036417653065,218.7609021737646,8,73.85593654097295,0,0
163,jax_0.1.73,jax/numpy/fft.py,262,158,182,15,121,89,172,136,261,895.7858106443538,10.661157024793388,19721.30466132708,1095.628036740393,1849.8278015663388,42,42.43569228562181,2,1
164,jax_0.1.73,examples/kernel_lsq.py,96,53,48,6,23,13,25,29,38,119.55169999363824,3.260869565217391,601.9672102658079,33.44262279254488,184.60327781484776,3,74.7704539833208,1,1
165,jax_0.1.73,examples/control.py,223,134,131,7,74,46,90,81,136,479.1510335109456,4.256756756756757,3670.259109778073,203.9032838765596,862.2196003923091,7,58.554740763929296,0,0
166,jax_0.1.73,examples/examples_test.py,98,59,67,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,7,78.82157494847165,0,0
167,jax_0.1.73,examples/spmd_mnist_classifier_fromscratch.py,128,84,79,5,38,24,44,43,68,211.03088598529305,2.8947368421052637,1068.117378030834,59.33985433504634,368.9860033197427,11,66.36779369409138,1,1
168,jax_0.1.73,examples/control_test.py,247,183,173,8,103,72,138,111,210,712.7095542998715,5.359223300970874,7646.686283760237,424.8159046533465,1426.8273319335224,13,43.06599338578559,0,0
169,jax_0.1.73,examples/mnist_classifier.py,97,59,60,5,17,11,20,22,31,81.0965087756926,2.9411764705882355,406.5952358169301,22.58862421205167,138.24238017775622,6,72.0807942967749,1,1
170,jax_0.1.73,examples/__init__.py,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
171,jax_0.1.73,examples/onnx2xla.py,134,80,88,9,46,29,57,55,86,282.6131749916034,5.576086956521739,2772.41334610088,154.02296367227112,497.1969353631208,23,60.0746365066849,0,0
172,jax_0.1.73,examples/gaussian_process_regression.py,132,86,86,10,91,57,110,101,167,625.4285932069549,6.043956043956044,6720.403568030247,373.35575377945815,1111.92131761955,6,62.95215174406371,0,0
173,jax_0.1.73,examples/resnet50.py,125,57,83,3,10,7,11,13,18,37.97416845103709,1.65,109.90305962879044,6.105725534932803,66.60791492653966,4,73.26266838583634,1,1
174,jax_0.1.73,examples/datasets.py,93,54,49,5,11,7,11,16,18,49.66338827944709,2.5,180.0,10.0,72.0,5,74.69042639190147,0,0
175,jax_0.1.73,examples/mnist_classifier_fromscratch.py,95,61,60,5,33,21,38,38,59,178.07464641326578,2.878787878787879,891.3525367530696,49.51958537517053,309.6277232931715,9,68.05283320166164,0,0
176,jax_0.1.73,examples/mnist_vae.py,133,83,84,8,41,26,46,49,72,243.65963218934144,4.487804878048781,1814.2360003619096,100.790888908995,404.259108776295,5,63.5851942547665,1,1
